artists,track_name,popularity,profile,pca_1,pca_2
Jay Chou,東風破,50,Bailable y positivo,-0.1337,0.6269
MC Caja;Mc Gibi,De Treta Em Treta,43,Directo y hablado,0.3112,-0.4988
Mavado,Money Changer,19,Bailable y positivo,1.7788,-0.1724
Roberto Goyeneche;Astor Piazzolla,Balada para un Loco,17,Acústico y calmado,-1.5475,0.5853
Bad Bunny,Moscow Mule,94,Bailable y positivo,0.4082,0.6834
Kristen Anderson-Lopez;Robert Lopez,Into the Unknown - Instrumental,43,Acústico y calmado,-2.997,-0.6079
Fiona Apple,Paper Bag,65,Bailable y positivo,0.0417,2.1998
Stephen Lynch,Halloween,30,Directo y hablado,-1.1517,-1.3242
Styles & Breeze;Hypnose,You're My Angel - Hypnose Remix Edit,59,Intenso y oscuro,0.6843,-0.906
Revolting Cocks,38,20,Intenso y oscuro,0.1967,-1.2339
Felix Da Housecat;Dave The Hustler;Blakk Hazel,Sweat!,13,Bailable y positivo,1.246,1.5966
Paul van Dyk;Alex M.O.R.P.H.,Hawkins Square (ASOT 1090),38,Intenso y oscuro,-0.5036,-1.6263
Charlie Brown Jr.,Só Lazer,37,Intenso y oscuro,0.5374,-1.3909
Håkan Hellström,Det tog så lång tid att bli ung,34,Acústico y calmado,-1.8801,0.5916
Groundation,Vanity,27,Bailable y positivo,0.6779,0.0527
Great Good Fine Ok;Digital Farm Animals,You're the One for Me - Digital Farm Animals Remix,56,Intenso y oscuro,-0.7469,-0.3098
ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),0,Bailable y positivo,1.2896,0.4019
Thievery Corporation,The Richest Man In Babylon,54,Bailable y positivo,1.0264,1.7134
Tatiana and Sergey Nikitin,Waltz by candlelight,5,Acústico y calmado,-1.5972,2.3945
Modern Talking,No Face No Name No Number,47,Bailable y positivo,1.7824,0.8525
dusty dexter,Just Vibin’,41,Bailable y positivo,-0.711,0.6738
Sam Smith,I'm Not The Only One,1,Bailable y positivo,-0.2708,1.2113
Dimension,Generator,48,Intenso y oscuro,0.0278,-1.6341
Marilyn Manson,The Beautiful People,0,Bailable y positivo,1.7436,0.2247
Lacuna Coil,End of Time,44,Intenso y oscuro,0.4351,-0.874
Drowning Pool,Bodies,75,Bailable y positivo,1.515,-0.1309
Atreyu,Anger Left Behind,0,Intenso y oscuro,0.7208,-1.3827
Kuba Jurzyk,Popatrz na niebo,22,Acústico y calmado,-1.8059,0.5783
The Pinks,Lucky Luke,39,Bailable y positivo,1.243,1.1101
